,Suburb,Postcode,Local government area,Latitude,Longitude,1st Most Common Venue
166,Caulfield South,3162,City of Glen Eira,-37.894698999999996,145.02493230000002,
167,Carnegie,3163,City of Glen Eira,-37.893372899999996,145.0559135,
168,Elsternwick,3185,City of Glen Eira,-37.885842499999995,145.00701519999998,
169,Gardenvale,3185,City of Glen Eira,-37.8981194,145.00918240000001,
170,Glen Huntly,3163,City of Glen Eira,-37.8923791,145.0413689,
171,McKinnon,3204,City of Glen Eira,-37.910594200000006,145.03863,
172,Murrumbeena,3163,City of Glen Eira,-37.8968653,145.0703808,
173,Ormond,3204,City of Glen Eira,-37.9039946,145.0432907,
174,St Kilda East,3183,City of Glen Eira; City of Port Phillip,-37.8668218,145.00216569999998,Polish Restaurant
175,Dandenong,3175,City of Greater Dandenong,-37.98749,145.21479230000003,
176,Dandenong North,3175,City of Greater Dandenong,-37.95583189999999,145.2143234,
177,Dandenong South,3175,City of Greater Dandenong,-38.0279936,145.2209236,
178,Keysborough,3173,City of Greater Dandenong,-38.005360700000004,145.1674069,
179,Noble Park,3174,City of Greater Dandenong,-37.9695376,145.176703,
180,Noble Park North,3174,City of Greater Dandenong,-37.9512702,145.19083769999997,
181,Springvale,3171,City of Greater Dandenong,-37.945625299999996,145.1580111,
182,Springvale South,3172,City of Greater Dandenong,-37.9708611,145.14786919999997,
183,Bangholme,3175,City of Greater Dandenong,-38.0483919,145.1720859,
184,Altona,3018,City of Hobsons Bay,-37.8602151,144.813703,Polish Restaurant
185,Altona Meadows,3028,City of Hobsons Bay,-37.8814419,144.7845482,Polish Restaurant
186,Altona North,3025,City of Hobsons Bay,-37.8378229,144.8342853,Kebab Restaurant
187,Laverton,3028,City of Hobsons Bay; City of Wyndham,-37.859382200000006,144.76714040000002,Polish Restaurant
188,Newport,3015,City of Hobsons Bay,-37.843596600000005,144.88047969999997,Australian Restaurant
189,Spotswood,3015,City of Hobsons Bay,-37.8296363,144.887901,Malay Restaurant
190,Seabrook,3028,City of Hobsons Bay,-37.8808999,144.75860600000001,Polish Restaurant
191,Seaholme,3018,City of Hobsons Bay,-37.8677992,144.8410816,Polish Restaurant
192,South Kingsville,3015,City of Hobsons Bay,-37.8306664,144.8713429,Malay Restaurant
193,Williamstown,3016,City of Hobsons Bay,-37.8611788,144.8898569,Polish Restaurant
194,Williamstown North,3016,City of Hobsons Bay,-37.8526453,144.8688784,Thai Restaurant
195,Attwood,3049,City of Hume,-37.6670148,144.884862,Polish Restaurant
196,Broadmeadows,3047,City of Hume,-37.68293875,144.919575351733,Polish Restaurant
197,Campbellfield,3061,City of Hume,-37.6641298,144.959583,Polish Restaurant
198,Coolaroo,3048,City of Hume,-37.6567594,144.9345853,Polish Restaurant
199,Craigieburn,3064,City of Hume,-37.5901421,144.91082649999998,
200,Dallas,3047,City of Hume,-37.6708194,144.9354163,Polish Restaurant
201,Gladstone Park,3043,City of Hume,-37.6898311,144.8944658,Fast Food Restaurant
202,Greenvale,3059,City of Hume,-37.6347658,144.8814617,Polish Restaurant
203,Jacana,3047,City of Hume,-37.6951482,144.9158281,Polish Restaurant
204,Meadow Heights,3048,City of Hume,-37.65116679999999,144.9185521,Polish Restaurant
205,Melbourne Airport,3045,City of Hume,-37.67153775,144.851680260791,Polish Restaurant
206,Roxburgh Park,3064,City of Hume,-37.6258153,144.92557250000002,
207,Somerton,3062,City of Hume,-37.634688,144.9507961,Polish Restaurant
208,Westmeadows,3049,City of Hume,-37.6768765,144.8939017,
209,Sunbury,3429,City of Hume,-37.579693799999994,144.72952809999998,
210,Bulla,3428,City of Hume,-37.634795700000005,144.8027227,Polish Restaurant
211,Clarkefield,3430,City of Hume; Shire of Macedon Ranges,-37.483466,144.74804890000001,
212,Diggers Rest,3427,City of Hume; Shire of Melton,-37.6280256,144.720969,
213,Kalkallo,3064,City of Hume,-37.530952299999996,144.94965390000002,
214,Mickleham,3064,City of Hume,-37.5616549,144.87733390000002,
215,Oaklands Junction,3063,City of Hume,-37.5916891,144.841268461542,
216,Wildwood,3429,City of Hume,-37.55692655,144.799086801365,
217,Yuroke,3063,City of Hume,-37.589463099999996,144.8789803,
218,Aspendale,3195,City of Kingston,-38.0219105,145.1024159,
219,Aspendale Gardens,3195,City of Kingston,-38.022143799999995,145.11983999999998,
220,Bonbeach,3196,City of Kingston,-38.0630635,145.1276225,
221,Braeside,3195,City of Kingston,-38.0005245,145.12295780000002,
222,Carrum,3197,City of Kingston,-38.0767264,145.12800980000003,
223,Chelsea,3196,City of Kingston,-38.0497386,145.121407,
224,Chelsea Heights,3196,City of Kingston,-38.0408403,145.1341354,
225,Clarinda,3169,City of Kingston,-37.943109299999996,145.1060206,
226,Clayton South,3169,City of Kingston,-37.9430924,145.125236,
227,Dingley Village,3172,City of Kingston,-37.975576200000006,145.12564780000002,
228,Edithvale,3196,City of Kingston,-38.0375588,145.1149321,
229,Heatherton,3202,City of Kingston,-37.9560844,145.09320669999997,
230,Mentone,3194,City of Kingston,-37.9813669,145.0689511,
231,Moorabbin Airport,3194,City of Kingston,-37.97746179999999,145.09952969999998,
232,Mordialloc,3195,City of Kingston,-37.9993584,145.0960708,
233,Parkdale,3195,City of Kingston,-37.991867299999996,145.081286,
234,Patterson Lakes,3197,City of Kingston,-38.069449299999995,145.14323290000002,
235,Waterways,3195,City of Kingston,-38.014778299999996,145.1305166,
236,Bayswater,3153,City of Knox,-37.8454443,145.2647667,Polish Restaurant
237,Boronia,3155,City of Knox,-37.8563043,145.2859658,Polish Restaurant
238,Ferntree Gully,3156,City of Knox,-37.8840562,145.2817304,
239,Knoxfield,3180,City of Knox,-37.889773100000006,145.2496342,
240,Lysterfield,3156,City of Knox (as a suburb); Shire of Yarra Ranges (as a rural locality),-37.9348771,145.30175880000002,
241,Rowville,3178,City of Knox,-37.918833899999996,145.2367361,
242,Scoresby,3179,City of Knox,-37.902578600000005,145.21830659999998,
243,Sassafras,3787,City of Knox,-37.8678412,145.35680390000002,Polish Restaurant
244,The Basin,3154,City of Knox,-37.8556937,145.3214075,Polish Restaurant
245,Upper Ferntree Gully,3156,City of Knox; Shire of Yarra Ranges,-37.8966917,145.30987549999998,
246,Wantirna,3152,City of Knox,-37.852335700000005,145.22597209999998,Thai Restaurant
247,Wantirna South,3152,City of Knox,-37.8737902,145.22174750000002,Polish Restaurant
248,Bulleen,3105,City of Manningham,-37.7688992,145.0871992,Thai Restaurant
249,Doncaster,3108,City of Manningham,-37.7848299,145.1238431,Sushi Restaurant
250,Doncaster East,3109,City of Manningham,-37.7788744,145.1638815,Fast Food Restaurant
251,Donvale,3111,City of Manningham,-37.789809399999996,145.1914915,Polish Restaurant
252,Nunawading,3131,City of Manningham; City of Whitehorse,-37.8173756,145.17653080000002,Italian Restaurant
253,Park Orchards,3114,City of Manningham,-37.7769195,145.2146209,Fast Food Restaurant
254,Ringwood North,3134,City of Manningham; City of Maroondah,-37.793032399999994,145.23123130000002,Indian Restaurant
255,Templestowe,3106,City of Manningham,-37.754058799999996,145.14861519999997,Middle Eastern Restaurant
256,Templestowe Lower,3107,City of Manningham,-37.7638749,145.1122762,Indian Restaurant
257,Warrandyte,3113,City of Manningham,-37.7585968,145.22762818933,Indian Restaurant
258,Warrandyte South,3134,City of Manningham,-37.7610033,145.2373853,Indian Restaurant
259,Wonga Park,3115,City of Manningham,-37.7356804,145.269802,Chinese Restaurant
260,Braybrook,3019,City of Maribyrnong,-37.7867076,144.85484509999998,Sushi Restaurant
261,Footscray,3011,City of Maribyrnong,-37.798133899999996,144.897345,Italian Restaurant
262,Kingsville,3012,City of Maribyrnong,-37.8088622,144.8794356,Korean Restaurant
263,Maidstone,3012,City of Maribyrnong,-37.7819337,144.87416059999998,Sushi Restaurant
264,Maribyrnong,3032,City of Maribyrnong,-37.7695144,144.89020490000001,Thai Restaurant
265,Seddon,3011,City of Maribyrnong,-37.8067725,144.8915967,Italian Restaurant
266,Tottenham,3012,City of Maribyrnong,-37.8046977,144.8529354,Italian Restaurant
267,West Footscray,3012,City of Maribyrnong,-37.8005584,144.87108080000002,Italian Restaurant
268,Yarraville,3013,City of Maribyrnong,-37.8180051,144.8819389,Italian Restaurant
269,Bayswater North,3153,City of Maroondah,-37.8269747,145.28368469999998,Malay Restaurant
270,Croydon,3136,City of Maroondah,-37.795177,145.284447,Indian Restaurant
271,Croydon Hills,3136,City of Maroondah,-37.7759541,145.2671081,Fast Food Restaurant
272,Croydon North,3136,City of Maroondah,-37.771884299999996,145.2839524,Vietnamese Restaurant
273,Croydon South,3136,City of Maroondah,-37.8150135,145.27361240000002,Italian Restaurant
274,Heathmont,3135,City of Maroondah,-37.8305406,145.2442572,Malay Restaurant
275,Kilsyth,3137,City of Maroondah,-37.8037844,145.3134593,Italian Restaurant
276,Kilsyth South,3137,City of Maroondah,-37.8315054,145.31100080000002,Malay Restaurant
277,Park Orchards,3114,City of Maroondah,-37.7769195,145.2146209,Fast Food Restaurant
278,Ringwood,3134,City of Maroondah,-37.811476500000005,145.23341509999997,Korean Restaurant
279,Ringwood East,3135,City of Maroondah,-37.813080799999994,145.2530126,Sushi Restaurant
280,Vermont,3133,City of Maroondah; City of Whitehorse,-37.8384616,145.19934709999998,Thai Restaurant
281,Warranwood,3134,City of Maroondah,-37.7725114,145.250157,Fast Food Restaurant
282,Carlton,3053,City of Melbourne,-37.80042279999999,144.9684343,Italian Restaurant
283,Carlton North,3054,City of Melbourne; City of Yarra,-37.7845585,144.97285530000002,Sushi Restaurant
284,Docklands,3008,City of Melbourne,-37.81754229999999,144.9394923,Italian Restaurant
285,East Melbourne,3002,City of Melbourne,-37.812498,144.9858851,Korean Restaurant
286,Flemington,3031,City of Melbourne; City of Moonee Valley,-37.78675870000001,144.9193668,Sushi Restaurant
287,Kensington,3031,City of Melbourne,-37.7943554,144.9270487,Indian Restaurant
