,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
350,Niddrie,3042,City of Moonee Valley,,,,,,,"Niddrie, VIC 3042, Australia",-37.7397699,144.8847881
351,Strathmore,3041,City of Moonee Valley,,,,,,,"Strathmore, VIC 3041, Australia",-37.7333202,144.9182433
352,Strathmore Heights,3041,City of Moonee Valley,,,,,,,"Strathmore Heights, VIC 3041, Australia",-37.7133663,144.8969057
353,Travancore,3032,City of Moonee Valley,,,,,,,"Travancore, VIC 3032, Australia",-37.7807553,144.935503
354,Brunswick,3056,City of Moreland,,,,,,,"Brunswick, VIC 3056, Australia",-37.7664715,144.9613103
355,Brunswick East,3057,City of Moreland,,,,,,,"Brunswick East, VIC 3057, Australia",-37.7688802,144.9776825
356,Brunswick West,3055,City of Moreland,,,,,,,"Brunswick West, VIC 3055, Australia",-37.7633334,144.9425563
357,Coburg,3058,City of Moreland,,,,,,,"Coburg, VIC 3058, Australia",-37.7449752,144.9643314
358,Coburg North,3058,City of Moreland,,,,,,,"Coburg North, VIC 3058, Australia",-37.7243394,144.9675896
359,Fawkner,3060,City of Moreland,,,,,,,"Fawkner, VIC 3060, Australia",-37.7052065,144.9696144
360,Glenroy,3046,City of Moreland,,,,,,,"Glenroy, VIC 3046, Australia",-37.7028199,144.9275403
361,Gowanbrae,3043,City of Moreland,,,,,,,"Gowanbrae, VIC 3043, Australia",-37.7027183,144.8975976
362,Hadfield,3046,City of Moreland,,,,,,,"Hadfield, VIC 3046, Australia",-37.7101582,144.9502764
363,Oak Park,3046,City of Moreland,,,,,,,"Oak Park, VIC 3046, Australia",-37.7181626,144.9189712
364,Pascoe Vale,3044,City of Moreland,,,,,,,"Pascoe Vale, VIC 3044, Australia",-37.7250777,144.9379604
365,Pascoe Vale South,3044,City of Moreland,,,,,,,"Pascoe Vale South, VIC 3044, Australia",-37.7434265,144.9384767
366,Blairgowrie,3942,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Blairgowrie, VIC 3942, Australia",-38.3687445,144.7722682
367,Capel Sound,3940,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Capel Sound, VIC 3940, Australia",-38.3737241,144.8755654
368,Dromana,3936,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Dromana, VIC 3936, Australia",-38.3418285,144.9655838
369,McCrae,3938,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"McCrae, VIC 3938, Australia",-38.3599791,144.9338501
370,Mornington,3931,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Mornington, VIC 3931, Australia",-33.15379,115.929
371,Mount Eliza,3930,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Mount Eliza, VIC 3930, Australia",-38.19381,145.095732088415
372,Mount Martha,3934,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Mount Martha, VIC 3934, Australia",-38.2754676,145.0307737
373,Portsea,3944,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Portsea, VIC 3944, Australia",-38.3228212,144.7004208
374,Rosebud,3939,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Rosebud, VIC 3939, Australia",-38.3710325,144.9095115
375,Rye,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Rye, VIC 3941, Australia",-38.3821684,144.8099264
376,Safety Beach,3936,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Safety Beach, VIC 3936, Australia",-38.3153642,145.000282
377,St Andrews Beach,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"St Andrews Beach, VIC 3941, Australia",-38.4199773,144.83117
378,Sorrento,3943,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Sorrento, VIC 3943, Australia",-38.3447273,144.7420938
379,Tootgarook,3941,Shire of Mornington Peninsula (adjacent to Port Phillip),,,,,,,"Tootgarook, VIC 3941, Australia",-38.3777277,144.8502239
380,Bittern,3918,Shire of Mornington Peninsula (adjacent to Western Port),,,,,,,"Bittern, VIC 3918, Australia",-38.3375798,145.1773289
381,Crib Point,3919,Shire of Mornington Peninsula (adjacent to Western Port),,,,,,,"Crib Point, VIC 3919, Australia",-38.3523582,145.2029503
382,Hastings,3915,Shire of Mornington Peninsula (adjacent to Western Port),,,,,,,"Hastings, VIC 3915, Australia",-38.307488,145.1902003
383,Somerville,3912,Shire of Mornington Peninsula (adjacent to Western Port),,,,,,,"Somerville, VIC 3912, Australia",-38.2254039,145.1736692
384,Tyabb,3913,Shire of Mornington Peninsula (adjacent to Western Port),,,,,,,"Tyabb, VIC 3913, Australia",-38.2637008,145.1871641
385,Arthurs Seat,3936,Shire of Mornington Peninsula,,,,,,,"Arthurs Seat, VIC 3936, Australia",-38.36077,144.959730916163
386,Balnarring,3926,Shire of Mornington Peninsula,,,,,,,"Balnarring, VIC 3926, Australia",-38.35716,145.12594484191
387,Balnarring Beach,3926,Shire of Mornington Peninsula,,,,,,,"Balnarring Beach, VIC 3926, Australia",-38.395945,145.113191146907
388,Baxter,3911,Shire of Mornington Peninsula,,,,,,,"Baxter, VIC 3911, Australia",-38.2010079,145.1568582
389,Boneo,3939,Shire of Mornington Peninsula,,,,,,,"Boneo, VIC 3939, Australia",-38.439545,144.903913613841
390,Cape Schanck,3939,Shire of Mornington Peninsula,,,,,,,"Cape Schanck, VIC 3939, Australia",-38.466205,144.889216244444
391,Fingal,3939,Shire of Mornington Peninsula,,,,,,,"Fingal, VIC 3939, Australia",-38.418955,144.859891004844
392,Flinders,3929,Shire of Mornington Peninsula,,,,,,,"Flinders, VIC 3929, Australia",-38.45564,144.985139639175
393,HMAS Cerberus,3920,Shire of Mornington Peninsula,,,,,,,"HMAS Cerberus, VIC 3920, Australia",-38.382085,145.194820337715
394,Main Ridge,3928,Shire of Mornington Peninsula,,,,,,,"Main Ridge, VIC 3928, Australia",-38.40234,144.965533868726
395,Merricks,3916,Shire of Mornington Peninsula,,,,,,,"Merricks, VIC 3916, Australia",-38.3998558,145.0986775
396,Merricks Beach,3926,Shire of Mornington Peninsula,,,,,,,"Merricks Beach, VIC 3926, Australia",-38.3998558,145.0986775
397,Merricks North,3926,Shire of Mornington Peninsula,,,,,,,"Merricks North, VIC 3926, Australia",-38.34129,145.071874766734
398,Moorooduc,3933,Shire of Mornington Peninsula,,,,,,,"Moorooduc, VIC 3933, Australia",-38.245685,145.11613426233
399,Point Leo,3916,Shire of Mornington Peninsula,,,,,,,"Point Leo, VIC 3916, Australia",-38.4190327,145.0752586
400,Red Hill,3937,Shire of Mornington Peninsula,,,,,,,"Red Hill, VIC 3937, Australia",-38.3799499,145.0264267
401,Red Hill South,3937,Shire of Mornington Peninsula,,,,,,,"Red Hill South, VIC 3937, Australia",-38.40638,145.029194632565
402,Shoreham,3916,Shire of Mornington Peninsula,,,,,,,"Shoreham, VIC 3916, Australia",-38.4247467,145.0554939
403,Somers,3927,Shire of Mornington Peninsula,,,,,,,"Somers, VIC 3927, Australia",-38.3923474,145.1726499
404,Tuerong,3915,Shire of Mornington Peninsula,,,,,,,"Tuerong, VIC 3915, Australia",-38.297585,145.091226149873
405,Diamond Creek,3089,Shire of Nillumbik,,,,,,,"Diamond Creek, VIC 3089, Australia",-37.6760643,145.1524368
406,Hurstbridge,3099,Shire of Nillumbik,,,,,,,"Hurstbridge, VIC 3099, Australia",-37.6375848,145.1943394
407,North Warrandyte,3113,Shire of Nillumbik,,,,,,,"North Warrandyte, VIC 3113, Australia",-37.7258538,145.2155463
408,Research,3095,Shire of Nillumbik,,,,,,,"Research, VIC 3095, Australia",-37.7066557,145.189067
409,Wattle Glen,3096,Shire of Nillumbik,,,,,,,"Wattle Glen, VIC 3096, Australia",-37.6699452,145.1916231
410,Bend of Islands,3097,Shire of Nillumbik,,,,,,,"Bend of Islands, VIC 3097, Australia",-37.700485,145.2777398125
411,Christmas Hills,3775,Shire of Nillumbik,,,,,,,"Christmas Hills, VIC 3775, Australia",-37.65814,145.307188707865
412,Cottles Bridge,3099,Shire of Nillumbik,,,,,,,"Cottles Bridge, VIC 3099, Australia",-37.6234258,145.2175327
413,Doreen,3754,Shire of Nillumbik (as a rural locality); City of Whittlesea (as a suburb),,,,,,,"Doreen, VIC 3754, Australia",-37.5963874,145.1428928
414,Kangaroo Ground,3097,Shire of Nillumbik,,,,,,,"Kangaroo Ground, VIC 3097, Australia",-37.6918649,145.2158904
415,Kinglake,3763,Shire of Nillumbik; Shire of Murrindindi,,,,,,,"Kinglake, VIC 3763, Australia",-37.5327424,145.341131
416,Kinglake West,3778,Shire of Nillumbik; Shire of Murrindindi; City of Whittlesea,,,,,,,"Kinglake West, VIC 3778, Australia",-37.4778011,145.255932344565
417,Nutfield,3099,Shire of Nillumbik,,,,,,,"Nutfield, VIC 3099, Australia",-37.6091125,145.1829249
418,Panton Hill,3759,Shire of Nillumbik,,,,,,,"Panton Hill, VIC 3759, Australia",-37.6413636,145.2390413
419,Plenty,3090,Shire of Nillumbik,,,,,,,"Plenty, VIC 3090, Australia",-37.6674499,145.1123773
420,St Andrews,3761,Shire of Nillumbik,,,,,,,"St Andrews, VIC 3761, Australia",-37.57944,145.28584035
421,Smiths Gully,3760,Shire of Nillumbik,,,,,,,"Smiths Gully, VIC 3760, Australia",-37.6041172,145.2678984
422,Strathewen,3099,Shire of Nillumbik,,,,,,,"Strathewen, VIC 3099, Australia",-37.5478739,145.2691533
423,Toolangi,3777,Shire of Nillumbik,,,,,,,"Toolangi, VIC 3777, Australia",-37.5333775,145.4672481
424,Watsons Creek,3097,Shire of Nillumbik,,,,,,,"Watsons Creek, VIC 3097, Australia",-37.6703909,145.2567324
425,Yan Yean,3755,Shire of Nillumbik; City of Whittlesea,,,,,,,"Yan Yean, VIC 3755, Australia",-37.569134,145.107832
426,Yarrambat,3091,Shire of Nillumbik,,,,,,,"Yarrambat, VIC 3091, Australia",-37.6375473,145.1349293
427,Albert Park,3206,City of Port Phillip,,,,,,,"Albert Park, VIC 3206, Australia",-37.8452062,144.957105
428,Balaclava,3183,City of Port Phillip,,,,,,,"Balaclava, VIC 3183, Australia",-37.8702943,144.9947414
429,Elwood,3184,City of Port Phillip,,,,,,,"Elwood, VIC 3184, Australia",-37.8788568,144.9855487
430,Middle Park,3206,City of Port Phillip,,,,,,,"Middle Park, VIC 3206, Australia",-37.8511511,144.9620399
431,Ripponlea,3185,City of Port Phillip,,,,,,,"Ripponlea, VIC 3185, Australia",-37.8777978,144.9952778
432,St Kilda,3182,City of Port Phillip,,,,,,,"St Kilda, VIC 3182, Australia",-37.8638261,144.981637
433,St Kilda West,3182,City of Port Phillip,,,,,,,"St Kilda West, VIC 3182, Australia",-37.8579958,144.9712452
434,South Melbourne,3205,City of Port Phillip,,,,,,,"South Melbourne, VIC 3205, Australia",-37.8334603,144.9570188
435,Armadale,3143,City of Stonnington,,,,,,,"Armadale, VIC 3143, Australia",-37.8567619,145.0206905
436,Kooyong,3144,City of Stonnington,,,,,,,"Kooyong, VIC 3144, Australia",-37.841394,145.0358402
437,Malvern,3144,City of Stonnington,,,,,,,"Malvern, VIC 3144, Australia",-37.8576088,145.0350666
438,Malvern East,3145,City of Stonnington,,,,,,,"Malvern East, VIC 3145, Australia",-37.876835,145.0658739
439,Prahran,3181,City of Stonnington,,,,,,,"Prahran, VIC 3181, Australia",-37.8478,145.0
440,Toorak,3142,City of Stonnington,,,,,,,"Toorak, VIC 3142, Australia",-37.8416141,145.0176215
441,Windsor,3181,City of Stonnington,,,,,,,"Windsor, VIC 3181, Australia",-37.8545227,144.9921665
442,Blackburn,3130,City of Whitehorse,,,,,,,"Blackburn, VIC 3130, Australia",-37.8217009,145.152276
443,Blackburn North,3130,City of Whitehorse,,,,,,,"Blackburn North, VIC 3130, Australia",-37.8053801,145.154324
444,Blackburn South,3130,City of Whitehorse,,,,,,,"Blackburn South, VIC 3130, Australia",-37.8388322,145.1487848
445,Box Hill,3128,City of Whitehorse,,,,,,,"Box Hill, VIC 3128, Australia",-37.8215116,145.1261267
446,Box Hill North,3129,City of Whitehorse,,,,,,,"Box Hill North, VIC 3129, Australia",-37.8056831,145.1295748
447,Box Hill South,3128,City of Whitehorse,,,,,,,"Box Hill South, VIC 3128, Australia",-37.8366236,145.1233644
448,Burwood East,3151,City of Whitehorse,,,,,,,"Burwood East, VIC 3151, Australia",-37.8535935,145.150423
449,Forest Hill,3131,City of Whitehorse,,,,,,,"Forest Hill, VIC 3131, Australia",-37.8362738,145.1690911
450,Mitcham,3132,City of Whitehorse,,,,,,,"Mitcham, VIC 3132, Australia",-37.818192,145.1990212
451,Vermont,3133,City of Whitehorse,,,,,,,"Vermont, VIC 3133, Australia",-37.8384616,145.1993471
452,Vermont South,3133,City of Whitehorse,,,,,,,"Vermont South, VIC 3133, Australia",-37.854386,145.1878065
453,Epping,3076,City of Whittlesea,,,,,,,"Epping, VIC 3076, Australia",-37.639111,145.0266224
454,Lalor,3075,City of Whittlesea,,,,,,,"Lalor, VIC 3075, Australia",-37.66582655,145.017278589908
455,Mernda,3754,City of Whittlesea,,,,,,,"Mernda, VIC 3754, Australia",-37.6027435,145.1008348
456,Mill Park,3082,City of Whittlesea,,,,,,,"Mill Park, VIC 3082, Australia",-37.6641334,145.0642681
457,South Morang,3752,City of Whittlesea,,,,,,,"South Morang, VIC 3752, Australia",-37.6316767,145.0836353
458,Thomastown,3074,City of Whittlesea,,,,,,,"Thomastown, VIC 3074, Australia",-37.6805616,145.014410295635
459,Beveridge,3753,City of Whittlesea; Shire of Mitchell,,,,,,,"Beveridge, VIC 3753, Australia",-37.4712651,144.9745663
460,Eden Park,3757,City of Whittlesea,,,,,,,"Eden Park, VIC 3757, Australia",-37.48874,145.066544844465
461,Humevale,3757,City of Whittlesea,,,,,,,"Humevale, VIC 3757, Australia",-37.50613,145.192174078888
462,Whittlesea,3757,City of Whittlesea,,,,,,,"Whittlesea, VIC 3757, Australia",-37.5121301,145.1177321
463,Wollert,3750,City of Whittlesea,,,,,,,"Wollert, VIC 3750, Australia",-37.5939889,145.0337333
464,Woodstock,3755,City of Whittlesea,,,,,,,"Woodstock, VIC 3755, Australia",-37.5460487,145.054426593234
465,Hoppers Crossing,3029,City of Wyndham,,,,,,,"Hoppers Crossing, VIC 3029, Australia",-37.8665704,144.6949625
466,Laverton North,3026,City of Wyndham,,,,,,,"Laverton North, VIC 3026, Australia",-37.8300705,144.7869487
467,Manor Lakes,3024,City of Wyndham,,,,,,,"Manor Lakes, VIC 3024, Australia",-37.8686285,144.5950127
468,Point Cook,3030,City of Wyndham,,,,,,,"Point Cook, VIC 3030, Australia",-37.9064862,144.7533059
469,Tarneit,3029,City of Wyndham,,,,,,,"Tarneit, VIC 3029, Australia",-37.83833625,144.703855735685
470,Werribee,3030,City of Wyndham,,,,,,,"Werribee, VIC 3030, Australia",-37.9008141,144.6616976
471,Werribee South,3030,City of Wyndham,,,,,,,"Werribee South, VIC 3030, Australia",-37.9734648,144.6922245
472,Williams Landing,3027,City of Wyndham,,,,,,,"Williams Landing, VIC 3027, Australia",-37.8614297,144.7445428
473,Wyndham Vale,3024,City of Wyndham,,,,,,,"Wyndham Vale, VIC 3024, Australia",-37.8722432,144.6084185
474,Cocoroc,3030,City of Wyndham,,,,,,,"Cocoroc, VIC 3030, Australia",-37.9748784,144.6286793
475,Little River,3211,City of Wyndham; City of Greater Geelong,,,,,,,"Little River, VIC 3211, Australia",-37.9390807,144.4789406
476,Mambourin,3024,City of Wyndham,,,,,,,"Mambourin, VIC 3024, Australia",-37.8996767,144.554854
477,Quandong,3340,City of Wyndham,,,,,,,"Quandong, VIC 3340, Australia",-37.8388844,144.5538125
478,Abbotsford,3067,City of Yarra,,,,,,,"Abbotsford, VIC 3067, Australia",-37.8045508,144.9988542
479,Burnley,3121,City of Yarra,,,,,,,"Burnley, VIC 3121, Australia",-37.8296132,145.0175294
480,Clifton Hill,3068,City of Yarra,,,,,,,"Clifton Hill, VIC 3068, Australia",-37.7904385,144.9975371
481,Collingwood,3066,City of Yarra,,,,,,,"Collingwood, VIC 3066, Australia",-37.802104,144.9881387
482,Cremorne,3121,City of Yarra,,,,,,,"Cremorne, VIC 3121, Australia",-37.8290227,144.9927735
483,Fitzroy,3065,City of Yarra,,,,,,,"Fitzroy, VIC 3065, Australia",-37.8010382,144.9792611
484,Fitzroy North,3068,City of Yarra,,,,,,,"Fitzroy North, VIC 3068, Australia",-37.7833316,144.9837074
485,Princes Hill,3054,City of Yarra,,,,,,,"Princes Hill, VIC 3054, Australia",-37.7818041,144.9665675
486,Richmond,3121,City of Yarra,,,,,,,"Richmond, VIC 3121, Australia",-37.8203955,145.0025153
487,Belgrave,3160,Shire of Yarra Ranges,,,,,,,"Belgrave, VIC 3160, Australia",-37.91104835,145.353691475376
488,Belgrave Heights,3160,Shire of Yarra Ranges,,,,,,,"Belgrave Heights, VIC 3160, Australia",-37.9266116,145.3525247
489,Belgrave South,3160,Shire of Yarra Ranges,,,,,,,"Belgrave South, VIC 3160, Australia",-37.9424023,145.3573383
490,Chirnside Park,3116,Shire of Yarra Ranges,,,,,,,"Chirnside Park, VIC 3116, Australia",-37.7385835,145.3143181
491,Kilsyth,3137,Shire of Yarra Ranges,,,,,,,"Kilsyth, VIC 3137, Australia",-37.8037844,145.3134593
492,Lilydale,3140,Shire of Yarra Ranges,,,,,,,"Lilydale, VIC 3140, Australia",-37.7576639,145.352405
493,Montrose,3765,Shire of Yarra Ranges,,,,,,,"Montrose, VIC 3765, Australia",-37.81068,145.350850076404
494,Mooroolbark,3138,Shire of Yarra Ranges,,,,,,,"Mooroolbark, VIC 3138, Australia",-37.7813447,145.3256732
495,Mount Evelyn,3796,Shire of Yarra Ranges,,,,,,,"Mount Evelyn, VIC 3796, Australia",-25.50419,121.7492
496,Selby,3159,Shire of Yarra Ranges,,,,,,,"Selby, VIC 3159, Australia",-37.9187608,145.3784097
497,Tecoma,3160,Shire of Yarra Ranges,,,,,,,"Tecoma, VIC 3160, Australia",-37.9030367,145.3446796
498,Upwey,3158,Shire of Yarra Ranges,,,,,,,"Upwey, VIC 3158, Australia",-37.9036086,145.3313506
499,Badger Creek,3777,Shire of Yarra Ranges,,,,,,,"Badger Creek, VIC 3777, Australia",-37.6821729,145.5354699
500,Beenak,3139,Shire of Yarra Ranges,,,,,,,"Beenak, VIC 3139, Australia",-37.8087592,145.5024531
501,Big Pats Creek,3799,Shire of Yarra Ranges,,,,,,,"Big Pats Creek, VIC 3799, Australia",-37.7646858,145.750752
502,Cambarville,3779,Shire of Yarra Ranges,,,,,,,"Cambarville, VIC 3779, Australia",-37.55817,145.8874417
503,Chum Creek,3777,Shire of Yarra Ranges,,,,,,,"Chum Creek, VIC 3777, Australia",-37.6364618,145.5188488
504,Coldstream,3770,Shire of Yarra Ranges,,,,,,,"Coldstream, VIC 3770, Australia",-35.16408045,149.139202159204
505,Dixons Creek,3775,Shire of Yarra Ranges,,,,,,,"Dixons Creek, VIC 3775, Australia",-37.6387012,145.3978013
506,Don Valley,3139,Shire of Yarra Ranges,,,,,,,"Don Valley, VIC 3139, Australia",-37.7608659,145.5868732
507,Fernshaw,3778,Shire of Yarra Ranges,,,,,,,"Fernshaw, VIC 3778, Australia",-37.5762973,144.7145654
508,Ferny Creek,3786,Shire of Yarra Ranges,,,,,,,"Ferny Creek, VIC 3786, Australia",-37.8821539,145.3353111
509,Gilderoy,3797,Shire of Yarra Ranges,,,,,,,"Gilderoy, VIC 3797, Australia",-37.8547073,145.7128179
510,Gladysdale,3797,Shire of Yarra Ranges,,,,,,,"Gladysdale, VIC 3797, Australia",-37.84282725,145.635089993066
511,Gruyere,3770,Shire of Yarra Ranges,,,,,,,"Gruyere, VIC 3770, Australia",-37.72896,145.46342348646
512,Healesville,3777,Shire of Yarra Ranges,,,,,,,"Healesville, VIC 3777, Australia",-37.6537218,145.5161533
513,Hoddles Creek,3139,Shire of Yarra Ranges,,,,,,,"Hoddles Creek, VIC 3139, Australia",-37.7820199,145.5759957
514,Kallista,3791,Shire of Yarra Ranges,,,,,,,"Kallista, VIC 3791, Australia",-37.8858076,145.3729123
515,Kalorama,3766,Shire of Yarra Ranges,,,,,,,"Kalorama, VIC 3766, Australia",-37.8194174,145.372162
516,Launching Place,3139,Shire of Yarra Ranges,,,,,,,"Launching Place, VIC 3139, Australia",-37.7806769,145.5691921
517,Macclesfield,3782,Shire of Yarra Ranges,,,,,,,"Macclesfield, VIC 3782, Australia",-37.881875,145.489884851485
518,McMahons Creek,3799,Shire of Yarra Ranges,,,,,,,"McMahons Creek, VIC 3799, Australia",-37.676665,145.970242595986
519,Matlock,3723,Shire of Yarra Ranges; Shire of Mansfield,,,,,,,"Matlock, VIC 3723, Australia",-37.598542,146.2077112
520,Millgrove,3799,Shire of Yarra Ranges,,,,,,,"Millgrove, VIC 3799, Australia",-37.7515012,145.6612026
521,Monbulk,3793,Shire of Yarra Ranges,,,,,,,"Monbulk, VIC 3793, Australia",-37.8741771,145.4286024
522,Mount Dandenong,3767,Shire of Yarra Ranges,,,,,,,"Mount Dandenong, VIC 3767, Australia",-37.8291766,145.3538837
523,Mount Toolebewong,3777,Shire of Yarra Ranges,,,,,,,"Mount Toolebewong, VIC 3777, Australia",0.0,0.0
524,Narre Warren East,3804,Shire of Yarra Ranges,,,,,,,"Narre Warren East, VIC 3804, Australia",-37.96297925,145.358052706164
525,Olinda,3788,Shire of Yarra Ranges,,,,,,,"Olinda, VIC 3788, Australia",-37.843742,145.3855733
526,Powelltown,3797,Shire of Yarra Ranges,,,,,,,"Powelltown, VIC 3797, Australia",-37.8630657,145.7514607
527,Reefton,3799,Shire of Yarra Ranges,,,,,,,"Reefton, VIC 3799, Australia",-37.7012226,145.831458
528,Sassafras,3787,Shire of Yarra Ranges,,,,,,,"Sassafras, VIC 3787, Australia",-37.8678412,145.3568039
529,Seville,3139,Shire of Yarra Ranges,,,,,,,"Seville, VIC 3139, Australia",-37.7782042,145.4594001
530,Seville East,3139,Shire of Yarra Ranges,,,,,,,"Seville East, VIC 3139, Australia",-37.7743,145.4988109
531,Sherbrooke,3789,Shire of Yarra Ranges,,,,,,,"Sherbrooke, VIC 3789, Australia",-37.8872461,145.3520043
532,Silvan,3795,Shire of Yarra Ranges,,,,,,,"Silvan, VIC 3795, Australia",-37.8291,145.437765047924
533,Steels Creek,3775,Shire of Yarra Ranges,,,,,,,"Steels Creek, VIC 3775, Australia",-37.631723,145.3917831
534,Tarrawarra,3775,Shire of Yarra Ranges,,,,,,,"Tarrawarra, VIC 3775, Australia",-37.6572776,145.4265611
535,The Patch,3792,Shire of Yarra Ranges,,,,,,,"The Patch, VIC 3792, Australia",-37.8901143,145.3912949
536,Three Bridges,3797,Shire of Yarra Ranges,,,,,,,"Three Bridges, VIC 3797, Australia",-37.85718,145.696878650087
537,Toorongo,3833,Shire of Yarra Ranges,,,,,,,"Toorongo, VIC 3833, Australia",-37.902262,146.0231389
538,Tremont,3785,Shire of Yarra Ranges,,,,,,,"Tremont, VIC 3785, Australia",-37.8788598,145.3157699
539,Wandin East,3139,Shire of Yarra Ranges,,,,,,,"Wandin East, VIC 3139, Australia",-37.81421,145.455768902598
540,Wandin North,3139,Shire of Yarra Ranges,,,,,,,"Wandin North, VIC 3139, Australia",-37.7806025,145.4262934
541,Warburton,3799,Shire of Yarra Ranges,,,,,,,"Warburton, VIC 3799, Australia",-37.77946,145.719411724138
542,Warburton East,3799,Shire of Yarra Ranges,,,,,,,"Warburton East, VIC 3799, Australia",-37.77946,145.719411724138
543,Wesburn,3799,Shire of Yarra Ranges,,,,,,,"Wesburn, VIC 3799, Australia",-37.695415,145.693112469387
544,Woori Yallock,3139,Shire of Yarra Ranges,,,,,,,"Woori Yallock, VIC 3139, Australia",-37.7793329,145.5301262
545,Yarra Glen,3775,Shire of Yarra Ranges,,,,,,,"Yarra Glen, VIC 3775, Australia",-37.6573475,145.3743964
546,Yarra Junction,3797,Shire of Yarra Ranges,,,,,,,"Yarra Junction, VIC 3797, Australia",-37.7821693,145.6150255
547,Yellingbo,3139,Shire of Yarra Ranges,,,,,,,"Yellingbo, VIC 3139, Australia",-37.8135132,145.5082046
548,Yering,3770,Shire of Yarra Ranges,,,,,,,"Yering, VIC 3770, Australia",-37.6887134,145.3746571
