,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
215,Oaklands Junction,3063,City of Hume,,,,,,,"Oaklands Junction, VIC 3063, Australia",-37.5916891,144.841268461542
216,Wildwood,3429,City of Hume,,,,,,,"Wildwood, VIC 3429, Australia",-37.55692655,144.799086801365
217,Yuroke,3063,City of Hume,,,,,,,"Yuroke, VIC 3063, Australia",-37.5894631,144.8789803
218,Aspendale,3195,City of Kingston,,,,,,,"Aspendale, VIC 3195, Australia",-38.0219105,145.1024159
219,Aspendale Gardens,3195,City of Kingston,,,,,,,"Aspendale Gardens, VIC 3195, Australia",-38.0221438,145.11984
220,Bonbeach,3196,City of Kingston,,,,,,,"Bonbeach, VIC 3196, Australia",-38.0630635,145.1276225
221,Braeside,3195,City of Kingston,,,,,,,"Braeside, VIC 3195, Australia",-38.0005245,145.1229578
222,Carrum,3197,City of Kingston,,,,,,,"Carrum, VIC 3197, Australia",-38.0767264,145.1280098
223,Chelsea,3196,City of Kingston,,,,,,,"Chelsea, VIC 3196, Australia",-38.0497386,145.121407
224,Chelsea Heights,3196,City of Kingston,,,,,,,"Chelsea Heights, VIC 3196, Australia",-38.0408403,145.1341354
225,Clarinda,3169,City of Kingston,,,,,,,"Clarinda, VIC 3169, Australia",-37.9431093,145.1060206
226,Clayton South,3169,City of Kingston,,,,,,,"Clayton South, VIC 3169, Australia",-37.9430924,145.125236
227,Dingley Village,3172,City of Kingston,,,,,,,"Dingley Village, VIC 3172, Australia",-37.9755762,145.1256478
228,Edithvale,3196,City of Kingston,,,,,,,"Edithvale, VIC 3196, Australia",-38.0375588,145.1149321
229,Heatherton,3202,City of Kingston,,,,,,,"Heatherton, VIC 3202, Australia",-37.9560844,145.0932067
230,Mentone,3194,City of Kingston,,,,,,,"Mentone, VIC 3194, Australia",-37.9813669,145.0689511
231,Moorabbin Airport,3194,City of Kingston,,,,,,,"Moorabbin Airport, VIC 3194, Australia",-37.9774618,145.0995297
232,Mordialloc,3195,City of Kingston,,,,,,,"Mordialloc, VIC 3195, Australia",-37.9993584,145.0960708
233,Parkdale,3195,City of Kingston,,,,,,,"Parkdale, VIC 3195, Australia",-37.9918673,145.081286
234,Patterson Lakes,3197,City of Kingston,,,,,,,"Patterson Lakes, VIC 3197, Australia",-38.0694493,145.1432329
235,Waterways,3195,City of Kingston,,,,,,,"Waterways, VIC 3195, Australia",-38.0147783,145.1305166
236,Bayswater,3153,City of Knox,,,,,,,"Bayswater, VIC 3153, Australia",-37.8454443,145.2647667
237,Boronia,3155,City of Knox,,,,,,,"Boronia, VIC 3155, Australia",-37.8563043,145.2859658
238,Ferntree Gully,3156,City of Knox,,,,,,,"Ferntree Gully, VIC 3156, Australia",-37.8840562,145.2817304
239,Knoxfield,3180,City of Knox,,,,,,,"Knoxfield, VIC 3180, Australia",-37.8897731,145.2496342
240,Lysterfield,3156,City of Knox (as a suburb); Shire of Yarra Ranges (as a rural locality),,,,,,,"Lysterfield, VIC 3156, Australia",-37.9348771,145.3017588
241,Rowville,3178,City of Knox,,,,,,,"Rowville, VIC 3178, Australia",-37.9188339,145.2367361
242,Scoresby,3179,City of Knox,,,,,,,"Scoresby, VIC 3179, Australia",-37.9025786,145.2183066
243,Sassafras,3787,City of Knox,,,,,,,"Sassafras, VIC 3787, Australia",-37.8678412,145.3568039
244,The Basin,3154,City of Knox,,,,,,,"The Basin, VIC 3154, Australia",-37.8556937,145.3214075
